Species,SciName,List
Sharp-tailed Grouse,Tympanuchus phasianellus,Confirmed
Virginia Rail,Rallus limicola,Confirmed
Black-billed Cuckoo,Coccyzus erythropthalmus,Confirmed
Common Poorwill,Phalaenoptilus nuttallii,Confirmed
Eastern Kingbird,Tyrannus tyrannus,Confirmed
Scissor-tailed Flycatcher,Tyrannus forficatus,Confirmed
Horned Lark,Eremophila alpestris,Confirmed
American Robin,Turdus migratorius,Confirmed
Bellâ€™s Vireo,Vireo bellii,Confirmed
Red-eyed Vireo,Vireo olivaceus,Confirmed
Black-and-white Warbler,Mniotilta varia,Confirmed
Common Yellowthroat,Geothlypis trichas,Confirmed
Yellow-breasted Chat,Icteria virens,Confirmed
Orchard Oriole,Icterus spurius,Confirmed
Scarlet Tanager,Piranga olivacea,Confirmed
Black-headed Grosbeak,Pheucticus melanocephalus,Confirmed
American Goldfinch,Spinus tristis,Confirmed
Spotted towhee,Pipilo maculatus,Confirmed
Grasshopper Sparrow,Ammodramus savannarum,Confirmed
Lark Sparrow,Chondestes grammacus,Confirmed
Field Sparrow,Spizella pusilla,Confirmed
